ID_Transaccion;Fecha;Tipo_Movimiento;ID_Producto;Nombre_Producto;Cantidad;Costo_Unitario;Precio_Venta_Unitario;Origen;Proveedor_Cliente
40;2022-01-06;Compra;PROD-005;Procesador Gamma;288;118.15;0.0;Compra;TechSupplies Inc.
41;2022-01-06;Produccion;PROD-002;Portátil Z1 Pro;36;454.11;0.0;Fabricacion;N/A
42;2022-01-07;Venta;PROD-004;Tarjeta Gráfica Pro;-21;0.0;348.24;Venta;Global Office
43;2022-01-07;Venta;PROD-001;Portátil Z1;-32;0.0;501.47;Venta;Global Office
44;2022-01-07;Venta;PROD-006;SSD 512GB;-8;0.0;80.24;Venta;Global Office
45;2022-01-07;Venta;PROD-006;SSD 512GB;-5;0.0;79.72;Venta;EducaTech
46;2022-01-07;Compra;PROD-007;SSD 1TB;285;65.96;0.0;Compra;VisionParts
47;2022-01-07;Compra;PROD-005;Procesador Gamma;237;117.66;0.0;Compra;PowerCell Co.
48;2022-01-07;Venta;PROD-003;Tarjeta Gráfica Eco;-42;0.0;158.56;Venta;EducaTech
49;2022-01-08;Venta;PROD-001;Portátil Z1;-43;0.0;499.95;Venta;CorpTech Solutions
50;2022-01-08;Venta;PROD-007;SSD 1TB;-21;0.0;129.38;Venta;PC Gamers World
51;2022-01-08;Compra;PROD-008;Batería Larga Duración;190;44.72;0.0;Compra;VisionParts
52;2022-01-08;Venta;PROD-007;SSD 1TB;-45;0.0;128.96;Venta;Global Office
53;2022-01-08;Venta;PROD-003;Tarjeta Gráfica Eco;-25;0.0;161.25;Venta;PC Gamers World
54;2022-01-08;Venta;PROD-002;Portátil Z1 Pro;-31;0.0;904.3;Venta;Venta Directa Online
55;2022-01-08;Produccion;PROD-009;Monitor Curvo 27'';23;148.4;0.0;Fabricacion;N/A
56;2022-01-09;Compra;PROD-007;SSD 1TB;124;65.46;0.0;Compra;VisionParts
57;2022-01-09;Compra;PROD-004;Tarjeta Gráfica Pro;211;177.67;0.0;Compra;Componentes Globales
58;2022-01-09;Compra;PROD-006;SSD 512GB;158;35.88;0.0;Compra;PowerCell Co.
59;2022-01-09;Compra;PROD-004;Tarjeta Gráfica Pro;169;178.36;0.0;Compra;VisionParts
60;2022-01-09;Produccion;PROD-001;Portátil Z1;24;251.69;0.0;Fabricacion;N/A
61;2022-01-09;Compra;PROD-006;SSD 512GB;264;36.45;0.0;Compra;PowerCell Co.
62;2022-01-09;Venta;PROD-005;Procesador Gamma;-23;0.0;219.58;Venta;CorpTech Solutions
63;2022-01-10;Produccion;PROD-002;Portátil Z1 Pro;50;456.25;0.0;Fabricacion;N/A
64;2022-01-10;Produccion;PROD-009;Monitor Curvo 27'';40;149.6;0.0;Fabricacion;N/A
65;2022-01-10;Venta;PROD-002;Portátil Z1 Pro;-44;0.0;908.9;Venta;Venta Directa Online
66;2022-01-10;Produccion;PROD-002;Portátil Z1 Pro;53;451.97;0.0;Fabricacion;N/A
67;2022-01-10;Venta;PROD-010;Webcam HD Pro;-7;0.0;59.93;Venta;Venta Directa Online
68;2022-01-10;Compra;PROD-005;Procesador Gamma;119;119.45;0.0;Compra;PowerCell Co.
69;2022-01-10;Produccion;PROD-001;Portátil Z1;83;250.22;0.0;Fabricacion;N/A
70;2022-01-11;Compra;PROD-005;Procesador Gamma;218;121.9;0.0;Compra;Componentes Globales
71;2022-01-11;Venta;PROD-002;Portátil Z1 Pro;-23;0.0;904.84;Venta;EducaTech
72;2022-01-11;Venta;PROD-004;Tarjeta Gráfica Pro;-43;0.0;350.27;Venta;PC Gamers World
73;2022-01-11;Compra;PROD-010;Webcam HD Pro;244;24.55;0.0;Compra;TechSupplies Inc.
74;2022-01-11;Compra;PROD-006;SSD 512GB;116;36.36;0.0;Compra;VisionParts
75;2022-01-11;Compra;PROD-004;Tarjeta Gráfica Pro;121;179.07;0.0;Compra;Componentes Globales
76;2022-01-12;Compra;PROD-010;Webcam HD Pro;225;24.83;0.0;Compra;VisionParts
77;2022-01-12;Compra;PROD-006;SSD 512GB;173;35.55;0.0;Compra;PowerCell Co.
78;2022-01-12;Venta;PROD-004;Tarjeta Gráfica Pro;-17;0.0;347.45;Venta;EducaTech
79;2022-01-12;Venta;PROD-004;Tarjeta Gráfica Pro;-35;0.0;351.27;Venta;Global Office
80;2022-01-12;Compra;PROD-006;SSD 512GB;245;36.32;0.0;Compra;VisionParts
81;2022-01-12;Venta;PROD-004;Tarjeta Gráfica Pro;-9;0.0;351.39;Venta;PC Gamers World
82;2022-01-12;Produccion;PROD-009;Monitor Curvo 27'';34;150.83;0.0;Fabricacion;N/A
83;2022-01-13;Produccion;PROD-009;Monitor Curvo 27'';68;152.41;0.0;Fabricacion;N/A
84;2022-01-13;Compra;PROD-008;Batería Larga Duración;87;45.52;0.0;Compra;TechSupplies Inc.
85;2022-01-13;Compra;PROD-006;SSD 512GB;110;35.3;0.0;Compra;Componentes Globales
86;2022-01-13;Produccion;PROD-009;Monitor Curvo 27'';77;151.8;0.0;Fabricacion;N/A
87;2022-01-13;Produccion;PROD-002;Portátil Z1 Pro;77;455.02;0.0;Fabricacion;N/A
88;2022-01-13;Compra;PROD-006;SSD 512GB;103;35.39;0.0;Compra;PowerCell Co.
89;2022-01-13;Produccion;PROD-002;Portátil Z1 Pro;78;446.94;0.0;Fabricacion;N/A
90;2022-01-14;Venta;PROD-006;SSD 512GB;-24;0.0;79.89;Venta;EducaTech
91;2022-01-14;Venta;PROD-004;Tarjeta Gráfica Pro;-15;0.0;348.43;Venta;CorpTech Solutions
92;2022-01-14;Compra;PROD-003;Tarjeta Gráfica Eco;64;85.36;0.0;Compra;PowerCell Co.
93;2022-01-14;Venta;PROD-005;Procesador Gama;-27;0.0;218.93;Venta;Global Office
94;2022-01-14;Produccion;PROD-002;Portátil Z1 Pro;64;458.3;0.0;Fabricacion;N/A
95;2022-01-14;Venta;PROD-008;Batería Larga Duración;-44;0.0;94.29;Venta;PC Gamers World
96;2022-01-14;Venta;PROD-003;Tarjeta Gráfica Eco;-26;0.0;159.56;Venta;PC Gamers World
97;2022-01-15;Venta;PROD-001;Portátil Z1;-46;0.0;496.0;Venta;Global Office
98;2022-01-15;Venta;PROD-004;Tarjeta Gráfica Pro;-16;0.0;351.67;Venta;Global Office
99;2022-01-15;Compra;PROD-006;SSD 512GB;203;35.58;0.0;Compra;Componentes Globales
100;2022-01-15;Compra;PROD-008;Batería Larga Duración;88;45.12;0.0;Compra;PowerCell Co.
101;2022-01-15;Venta;PROD-006;SSD 512GB;-45;0.0;79.55;Venta;PC Gamers World
102;2022-01-15;Venta;PROD-001;Portátil Z1;-47;0.0;500.36;Venta;CorpTech Solutions
103;2022-01-15;Venta;PROD-004;Tarjeta Gráfica Pro;-13;0.0;350.63;Venta;PC Gamers World
104;2022-01-16;Compra;PROD-006;SSD 512GB;287;35.17;0.0;Compra;Componentes Globales
105;2022-01-16;Produccion;PROD-002;Portátil Z1 Pro;69;442.93;0.0;Fabricacion;N/A
106;2022-01-16;Venta;PROD-001;Portátil Z1;-13;0.0;502.45;Venta;CorpTech Solutions
107;2022-01-16;Compra;PROD-006;SSD 512GB;76;35.36;0.0;Compra;TechSupplies Inc.
108;2022-01-16;Venta;PROD-004;Tarjeta Gráfica Pro;-28;0.0;350.36;Venta;Venta Directa Online
109;2022-01-16;Venta;PROD-005;Procesador Gama;-35;0.0;218.08;Venta;EducaTech
110;2022-01-17;Venta;PROD-003;Tarjeta Gráfica Eco;-6;0.0;159.12;Venta;Venta Directa Online
111;2022-01-17;Venta;PROD-002;Portátil Z1 Pro;-36;0.0;894.75;Venta;Venta Directa Online
112;2022-01-17;Venta;PROD-001;Portátil Z1;-26;0.0;501.59;Venta;Venta Directa Online
113;2022-01-17;Produccion;PROD-009;Monitor Curvo 27'';43;150.49;0.0;Fabricacion;N/A
114;2022-01-17;Venta;PROD-001;Portátil Z1;-15;0.0;497.65;Venta;Venta Directa Online
115;2022-01-17;Venta;PROD-008;Batería Larga Duración;-25;0.0;95.76;Venta;CorpTech Solutions
116;2022-01-17;Venta;PROD-005;Procesador Gamma;-19;0.0;220.41;Venta;CorpTech Solutions
117;2022-01-18;Compra;PROD-010;Webcam HD Pro;110;25.31;0.0;Compra;VisionParts
118;2022-01-18;Venta;PROD-004;Tarjeta Gráfica Pro;-16;0.0;346.11;Venta;Global Office
119;2022-01-18;Venta;PROD-008;Batería Larga Duración;-5;0.0;95.0;Venta;PC Gamers World
120;2022-01-18;Venta;PROD-009;Monitor Curvo 27'';-39;0.0;299.12;Venta;CorpTech Solutions
121;2022-01-18;Produccion;PROD-002;Portátil Z1 Pro;61;445.76;0.0;Fabricacion;N/A
122;2022-01-18;Produccion;PROD-002;Portátil Z1 Pro;67;449.33;0.0;Fabricacion;N/A
123;2022-01-18;Produccion;PROD-002;Portátil Z1 Pro;50;459.21;0.0;Fabricacion;N/A
124;2022-01-19;Venta;PROD-002;Portátil Z1 Pro;-16;0.0;905.34;Venta;Venta Directa Online
125;2022-01-19;Produccion;PROD-009;Monitor Curvo 27'';64;148.51;0.0;Fabricacion;N/A
126;2022-01-19;Venta;PROD-002;Portátil Z1 Pro;-14;0.0;893.51;Venta;Venta Directa Online
127;2022-01-19;Venta;PROD-007;SSD 1TB;-24;0.0;130.1;Venta;Venta Directa Online
128;2022-01-19;Compra;PROD-003;Tarjeta Gráfica Eco;234;85.66;0.0;Compra;TechSupplies Inc.
129;2022-01-19;Compra;PROD-007;SSD 1TB;71;64.92;0.0;Compra;PowerCell Co.
130;2022-01-19;Venta;PROD-005;Procesador Gamma;-31;0.0;219.5;Venta;EducaTech
131;2022-01-20;Compra;PROD-008;Batería Larga Duración;252;45.16;0.0;Compra;PowerCell Co.
132;2022-01-20;Venta;PROD-008;Batería Larga Duración;-8;0.0;95.68;Venta;Venta Directa Online
133;2022-01-20;Compra;PROD-010;Webcam HD Pro;191;25.16;0.0;Compra;Componentes Globales
134;2022-01-20;Venta;PROD-010;Webcam HD Pro;-26;0.0;59.53;Venta;CorpTech Solutions
135;2022-01-20;Produccion;PROD-009;Monitor Curvo 27'';89;150.69;0.0;Fabricacion;N/A
136;2022-01-20;Venta;PROD-008;Batería Larga Duración;-16;0.0;94.31;Venta;Global Office
137;2022-01-20;Compra;PROD-003;Tarjeta Gráfica Eco;88;85.98;0.0;Compra;PowerCell Co.
138;2022-01-21;Compra;PROD-008;Batería Larga Duración;263;44.75;0.0;Compra;PowerCell Co.
139;2022-01-21;Compra;PROD-004;Tarjeta Gráfica Pro;246;181.54;0.0;Compra;PowerCell Co.
140;2022-01-21;Venta;PROD-010;Webcam HD Pro;-21;0.0;59.85;Venta;Global Office
141;2022-01-21;Compra;PROD-003;Tarjeta Gráfica Eco;256;87.19;0.0;Compra;PowerCell Co.
142;2022-01-21;Compra;PROD-006;SSD 512GB;208;35.41;0.0;Compra;VisionParts
143;2022-01-21;Venta;PROD-002;Portátil Z1 Pro;-6;0.0;907.83;Venta;Global Office
144;2022-01-22;Venta;PROD-005;Procesador Gamma;-35;0.0;218.23;Venta;PC Gamers World
145;2022-01-22;Venta;PROD-009;Monitor Curvo 27'';-50;0.0;296.06;Venta;EducaTech
146;2022-01-22;Venta;PROD-001;Portátil Z1;-49;0.0;499.74;Venta;PC Gamers World
147;2022-01-22;Produccion;PROD-001;Portátil Z1;80;253.61;0.0;Fabricacion;N/A
148;2022-01-22;Venta;PROD-005;Procesador Gamma;-17;0.0;218.77;Venta;Global Office
149;2022-01-22;Venta;PROD-003;Tarjeta Gráfica Eco;-49;0.0;158.81;Venta;Venta Directa Online
150;2022-01-22;Venta;PROD-007;SSD 1TB;-46;0.0;130.06;Venta;Venta Directa Online
151;2022-01-23;Venta;PROD-004;Tarjeta Gráfica Pro;-5;0.0;346.56;Venta;Global Office
152;2022-01-23;Compra;PROD-006;SSD 512GB;247;35.75;0.0;Compra;Componentes Globales
153;2022-01-23;Compra;PROD-010;Webcam HD Pro;293;25.13;0.0;Compra;PowerCell Co.
154;2022-01-23;Venta;PROD-008;Batería Larga Duración;-48;0.0;95.58;Venta;Venta Directa Online
155;2022-01-23;Venta;PROD-006;SSD 512GB;-23;0.0;80.21;Venta;CorpTech Solutions
156;2022-01-23;Venta;PROD-003;Tarjeta Gráfica Eco;-12;0.0;161.06;Venta;EducaTech
157;2022-01-23;Compra;PROD-004;Tarjeta Gráfica Pro;236;180.3;0.0;Compra;Componentes Globales
158;2022-01-24;Venta;PROD-008;Batería Larga Duración;-31;0.0;94.35;Venta;PC Gamers World
159;2022-01-24;Venta;PROD-003;Tarjeta Gráfica Eco;-42;0.0;159.64;Venta;Venta Directa Online
160;2022-01-24;Compra;PROD-010;Webcam HD Pro;122;24.79;0.0;Compra;TechSupplies Inc.
161;2022-01-24;Venta;PROD-001;Portátil Z1;-22;0.0;501.6;Venta;Global Office
162;2022-01-24;Venta;PROD-008;Batería Larga Duración;-44;0.0;95.46;Venta;PC Gamers World
163;2022-01-24;Venta;PROD-007;SSD 1TB;-34;0.0;131.23;Venta;EducaTech
164;2022-01-24;Venta;PROD-003;Tarjeta Gráfica Eco;-38;0.0;159.2;Venta;Venta Directa Online
165;2022-01-25;Venta;PROD-003;Tarjeta Gráfica Eco;-46;0.0;161.02;Venta;PC Gamers World
166;2022-01-25;Venta;PROD-008;Batería Larga Duración;-34;0.0;94.56;Venta;Venta Directa Online
167;2022-01-25;Venta;PROD-002;Portátil Z1 Pro;-9;0.0;894.11;Venta;Venta Directa Online
168;2022-01-25;Venta;PROD-006;SSD 512GB;-6;0.0;79.6;Venta;EducaTech
169;2022-01-25;Compra;PROD-006;SSD 512GB;87;36.47;0.0;Compra;PowerCell Co.
170;2022-01-25;Compra;PROD-007;SSD 1TB;225;64.49;0.0;Compra;PowerCell Co.
171;2022-01-25;Venta;PROD-007;SSD 1TB;-22;0.0;128.73;Venta;CorpTech Solutions
172;2022-01-26;Venta;PROD-005;Procesador Gamma;-40;0.0;221.13;Venta;Venta Directa Online
173;2022-01-26;Venta;PROD-003;Tarjeta Gráfica Eco;-36;0.0;160.21;Venta;CorpTech Solutions
174;2022-01-26;Compra;PROD-010;Webcam HD Pro;282;25.23;0.0;Compra;TechSupplies Inc.
175;2022-01-26;Compra;PROD-010;Webcam HD Pro;186;24.95;0.0;Compra;TechSupplies Inc.
176;2022-01-26;Compra;PROD-005;Procesador Gama;177;119.92;0.0;Compra;TechSupplies Inc.
177;2022-01-26;Venta;PROD-010;Webcam HD Pro;-24;0.0;60.5;Venta;CorpTech Solutions
178;2022-01-26;Venta;PROD-008;Batería Larga Duración;-8;0.0;94.16;Venta;Venta Directa Online
179;2022-01-27;Venta;PROD-006;SSD 512GB;-14;0.0;79.34;Venta;EducaTech
180;2022-01-27;Produccion;PROD-009;Monitor Curvo 27'';94;147.92;0.0;Fabricacion;N/A
181;2022-01-27;Venta;PROD-003;Tarjeta Gráfica Eco;-7;0.0;159.61;Venta;EducaTech
182;2022-01-27;Venta;PROD-005;Procesador Gamma;-11;0.0;220.86;Venta;EducaTech
183;2022-01-27;Venta;PROD-004;Tarjeta Gráfica Pro;-19;0.0;348.86;Venta;PC Gamers World
184;2022-01-27;Produccion;PROD-009;Monitor Curvo 27'';87;151.9;0.0;Fabricacion;N/A
185;2022-01-28;Compra;PROD-007;SSD 1TB;183;66.03;0.0;Compra;VisionParts
186;2022-01-28;Venta;PROD-002;Portátil Z1 Pro;-45;0.0;903.72;Venta;PC Gamers World
187;2022-01-28;Venta;PROD-003;Tarjeta Gráfica Eco;-48;0.0;160.96;Venta;PC Gamers World
188;2022-01-28;Venta;PROD-009;Monitor Curvo 27'';-32;0.0;297.63;Venta;Venta Directa Online
189;2022-01-28;Venta;PROD-004;Tarjeta Gráfica Pro;-12;0.0;350.15;Venta;CorpTech Solutions
190;2022-01-28;Compra;PROD-010;Webcam HD Pro;51;24.89;0.0;Compra;VisionParts
191;2022-01-28;Venta;PROD-001;Portátil Z1;-44;0.0;498.16;Venta;PC Gamers World
192;2022-01-29;Produccion;PROD-002;Portátil Z1 Pro;63;455.61;0.0;Fabricacion;N/A
193;2022-01-29;Venta;PROD-005;Procesador Gama;-27;0.0;220.01;Venta;PC Gamers World
194;2022-01-29;Venta;PROD-004;Tarjeta Gráfica Pro;-12;0.0;352.92;Venta;EducaTech
195;2022-01-29;Venta;PROD-005;Procesador Gama;-27;0.0;222.18;Venta;Global Office
196;2022-01-29;Venta;PROD-008;Batería Larga Duración;-19;0.0;95.19;Venta;CorpTech Solutions
197;2022-01-29;Venta;PROD-007;SSD 1TB;-48;0.0;129.41;Venta;Venta Directa Online
198;2022-01-29;Venta;PROD-010;Webcam HD Pro;-29;0.0;59.97;Venta;Venta Directa Online
199;2022-01-30;Venta;PROD-006;SSD 512GB;-19;0.0;79.53;Venta;CorpTech Solutions
200;2022-01-30;Venta;PROD-007;SSD 1TB;-11;0.0;129.51;Venta;Global Office
201;2022-01-30;Venta;PROD-007;SSD 1TB;-6;0.0;131.12;Venta;EducaTech
202;2022-01-30;Compra;PROD-006;SSD 512GB;115;36.51;0.0;Compra;PowerCell Co.
203;2022-01-30;Venta;PROD-005;Procesador Gamma;-47;0.0;219.59;Venta;CorpTech Solutions
204;2022-01-30;Venta;PROD-006;SSD 512GB;-5;0.0;79.97;Venta;Venta Directa Online
205;2022-01-30;Venta;PROD-005;Procesador Gamma;-9;0.0;218.06;Venta;CorpTech Solutions
206;2022-01-31;Venta;PROD-003;Tarjeta Gráfica Eco;-19;0.0;159.07;Venta;EducaTech
207;2022-01-31;Compra;PROD-004;Tarjeta Gráfica Pro;139;181.08;0.0;Compra;Componentes Globales
208;2022-01-31;Compra;PROD-005;Procesador Gamma;66;118.55;0.0;Compra;PowerCell Co.
209;2022-01-31;Venta;PROD-005;Procesador Gamma;-30;0.0;221.25;Venta;PC Gamers World
210;2022-01-31;Venta;PROD-001;Portátil Z1;-40;0.0;497.08;Venta;Global Office
211;2022-01-31;Venta;PROD-001;Portátil Z1;-31;0.0;498.86;Venta;Venta Directa Online
212;2022-01-31;Venta;PROD-007;SSD 1TB;-6;0.0;130.7;Venta;EducaTech
213;2022-02-01;Venta;PROD-010;Webcam HD Pro;-20;0.0;60.2;Venta;EducaTech
214;2022-02-01;Venta;PROD-007;SSD 1TB;-24;0.0;130.37;Venta;Venta Directa Online
215;2022-02-01;Venta;PROD-002;Portátil Z1 Pro;-49;0.0;897.04;Venta;PC Gamers World
216;2022-02-01;Venta;PROD-002;Portátil Z1 Pro;-27;0.0;906.51;Venta;Venta Directa Online
217;2022-02-01;Venta;PROD-007;SSD 1TB;-7;0.0;129.31;Venta;EducaTech
218;2022-02-01;Produccion;PROD-002;Portátil Z1 Pro;73;449.65;0.0;Fabricacion;N/A
219;2022-02-02;Venta;PROD-010;Webcam HD Pro;-47;0.0;59.87;Venta;PC Gamers World
220;2022-02-02;Venta;PROD-010;Webcam HD Pro;-22;0.0;60.17;Venta;Global Office
221;2022-02-02;Compra;PROD-007;SSD 1TB;171;66.3;0.0;Compra;TechSupplies Inc.
222;2022-02-02;Venta;PROD-004;Tarjeta Gráfica Pro;-21;0.0;351.73;Venta;Venta Directa Online
223;2022-02-02;Produccion;PROD-002;Portátil Z1 Pro;58;451.33;0.0;Fabricacion;N/A
224;2022-02-02;Produccion;PROD-001;Portátil Z1;30;250.0;0.0;Fabricacion;N/A
225;2022-02-02;Venta;PROD-010;Webcam HD Pro;-44;0.0;60.15;Venta;CorpTech Solutions
226;2022-02-03;Venta;PROD-007;SSD 1TB;-27;0.0;130.6;Venta;CorpTech Solutions
227;2022-02-03;Venta;PROD-001;Portátil Z1;-28;0.0;502.57;Venta;Venta Directa Online
228;2022-02-03;Compra;PROD-007;SSD 1TB;249;66.09;0.0;Compra;TechSupplies Inc.
229;2022-02-03;Venta;PROD-002;Portátil Z1 Pro;-17;0.0;896.53;Venta;Venta Directa Online
230;2022-02-03;Venta;PROD-007;SSD 1TB;-46;0.0;129.9;Venta;Venta Directa Online
231;2022-02-03;Produccion;PROD-002;Portátil Z1 Pro;74;454.6;0.0;Fabricacion;N/A
232;2022-02-03;Compra;PROD-010;Webcam HD Pro;154;24.94;0.0;Compra;PowerCell Co.
233;2022-02-04;Produccion;PROD-002;Portátil Z1 Pro;56;442.02;0.0;Fabricacion;N/A
234;2022-02-04;Venta;PROD-010;Webcam HD Pro;-5;0.0;60.58;Venta;CorpTech Solutions
235;2022-02-04;Venta;PROD-002;Portátil Z1 Pro;-31;0.0;907.82;Venta;EducaTech
236;2022-02-04;Venta;PROD-010;Webcam HD Pro;-49;0.0;60.15;Venta;EducaTech
237;2022-02-04;Venta;PROD-003;Tarjeta Gráfica Eco;-37;0.0;160.56;Venta;Venta Directa Online
238;2022-02-04;Compra;PROD-008;Batería Larga Duración;159;45.15;0.0;Compra;Componentes Globales
239;2022-02-04;Compra;PROD-008;Batería Larga Duración;292;45.89;0.0;Compra;PowerCell Co.
240;2022-02-05;Venta;PROD-009;Monitor Curvo 27'';-15;0.0;296.77;Venta;CorpTech Solutions
241;2022-02-05;Venta;PROD-008;Batería Larga Duración;-35;0.0;94.99;Venta;EducaTech
242;2022-02-05;Compra;PROD-007;SSD 1TB;63;64.55;0.0;Compra;PowerCell Co.
243;2022-02-05;Venta;PROD-009;Monitor Curvo 27'';-48;0.0;301.81;Venta;CorpTech Solutions
244;2022-02-05;Venta;PROD-007;SSD 1TB;-11;0.0;130.97;Venta;EducaTech
245;2022-02-05;Compra;PROD-006;SSD 512GB;186;35.96;0.0;Compra;Componentes Globales
246;2022-02-05;Venta;PROD-008;Batería Larga Duración;-10;0.0;94.65;Venta;EducaTech
247;2022-02-06;Produccion;PROD-009;Monitor Curvo 27'';74;149.13;0.0;Fabricacion;N/A
248;2022-02-06;Venta;PROD-002;Portátil Z1 Pro;-11;0.0;891.27;Venta;Venta Directa Online
249;2022-02-06;Compra;PROD-005;Procesador Gamma;90;119.94;0.0;Compra;Componentes Globales
250;2022-02-06;Venta;PROD-010;Webcam HD Pro;-39;0.0;60.05;Venta;PC Gamers World
251;2022-02-06;Compra;PROD-007;SSD 1TB;219;64.54;0.0;Compra;Componentes Globales
252;2022-02-06;Venta;PROD-004;Tarjeta Gráfica Pro;-35;0.0;346.91;Venta;PC Gamers World
253;2022-02-07;Venta;PROD-004;Tarjeta Gráfica Pro;-40;0.0;351.92;Venta;EducaTech
254;2022-02-07;Venta;PROD-003;Tarjeta Gráfica Eco;-46;0.0;158.93;Venta;PC Gamers World
255;2022-02-07;Venta;PROD-006;SSD 512GB;-12;0.0;79.4;Venta;PC Gamers World
256;2022-02-07;Produccion;PROD-001;Portátil Z1;69;247.98;0.0;Fabricacion;N/A
257;2022-02-07;Compra;PROD-004;Tarjeta Gráfica Pro;178;181.57;0.0;Compra;PowerCell Co.
258;2022-02-07;Produccion;PROD-002;Portátil Z1 Pro;94;449.52;0.0;Fabricacion;N/A
259;2022-02-07;Venta;PROD-004;Tarjeta Gráfica Pro;-29;0.0;349.14;Venta;PC Gamers World
260;2022-02-08;Compra;PROD-006;SSD 512GB;263;36.1;0.0;Compra;TechSupplies Inc.
261;2022-02-08;Venta;PROD-005;Procesador Gamma;-48;0.0;220.76;Venta;Venta Directa Online
262;2022-02-08;Produccion;PROD-009;Monitor Curvo 27'';72;151.28;0.0;Fabricacion;N/A
263;2022-02-08;Compra;PROD-005;Procesador Gamma;58;120.08;0.0;Compra;PowerCell Co.
264;2022-02-08;Venta;PROD-002;Portátil Z1 Pro;-14;0.0;905.09;Venta;EducaTech
